$ /Users/samchen/Coding/CLASSES/CS2860/.venv/bin/python3 -m policies.baselines.rware_heuristic --env rware-medium-4ag-v2 --seed 6 --episodes 20 --max-steps 500 --stale-threshold 4 --log-dir /Users/samchen/Coding/CLASSES/CS2860/runs/overnight_v1/heuristic --run-name heuristic__delay-dropout__d30__s6 --heartbeat --heartbeat-period 1 --heartbeat-max-age-clip 128 --heartbeat-delay 30 --dropout --dropout-window-start 200 --dropout-window-end 350

[heuristic] env=rware-medium-4ag-v2 n_agents=4 episodes=20 max_steps=500 stale_threshold=4 (effective=4)
[heuristic] heartbeat=True (period=1, delay=30)  dropout=True (agent=None, time=None, window=[200,350))
[log] writing to /Users/samchen/Coding/CLASSES/CS2860/runs/overnight_v1/heuristic/heuristic__delay-dropout__d30__s6
[ep   0] return=0.000 length=500 deliveries=0
[ep   1] return=0.000 length=500 deliveries=0
[ep   2] return=0.000 length=500 deliveries=0
[ep   3] return=0.000 length=500 deliveries=0
[ep   4] return=0.000 length=500 deliveries=0
[ep   5] return=0.000 length=500 deliveries=0
[ep   6] return=0.000 length=500 deliveries=0
[ep   7] return=0.000 length=500 deliveries=0
[ep   8] return=0.000 length=500 deliveries=0
[ep   9] return=0.000 length=500 deliveries=0
[ep  10] return=0.000 length=500 deliveries=0
[ep  11] return=0.000 length=500 deliveries=0
[ep  12] return=0.000 length=500 deliveries=0
[ep  13] return=0.000 length=500 deliveries=0
[ep  14] return=0.000 length=500 deliveries=0
[ep  15] return=0.000 length=500 deliveries=0
[ep  16] return=0.000 length=500 deliveries=0
[ep  17] return=0.000 length=500 deliveries=0
[ep  18] return=0.000 length=500 deliveries=0
[ep  19] return=0.000 length=500 deliveries=0
[heuristic] 20 eps: return mean=0.000 std=0.000 deliveries mean=0.00
